,NL FA,Mass,Compound Name,QC06
1,16:0,824.77,TAG(48:0),0.00019133333333333334
56,16:0,850.78,TAG(50:1),0.0035440000000000003
58,18:1,850.78,TAG(50:1),0.0011
66,16:1,848.77,TAG(50:2),0.0002
67,16:0,848.77,TAG(50:2),0.004409
69,18:1,848.77,TAG(50:2),0.0002
70,18:2,848.77,TAG(50:2),0.0019
77,16:1,846.75,TAG(50:3),0.0002
78,16:0,846.75,TAG(50:3),0.004911666666666667
81,18:2,846.75,TAG(50:3),0.0002
82,18:3,846.75,TAG(50:3),0.0026
88,16:1,844.74,TAG(50:4),0.0003
89,16:0,844.74,TAG(50:4),0.001559
93,18:3,844.74,TAG(50:4),0.0005
94,18:4,844.74,TAG(50:4),0.0013
104,18:3,842.72,TAG(50:5),0.0002
105,18:4,842.72,TAG(50:5),0.0002
115,18:3,840.71,TAG(50:6),0.0005
126,18:3,838.69,TAG(50:7),0.0002
127,18:4,838.69,TAG(50:7),0.0003
148,18:3,880.83,TAG(52:0),0.0007
149,18:4,880.83,TAG(52:0),0.0006
155,16:0,878.81,TAG(52:1),0.0009193333333333333
156,18:0,878.81,TAG(52:1),0.001
157,18:1,878.81,TAG(52:1),0.0004
159,18:3,878.81,TAG(52:1),0.0002
160,18:4,878.81,TAG(52:1),0.0004
168,18:1,876.8,TAG(52:2),0.008633333333333333
167,18:0,876.8,TAG(52:2),0.0012
170,18:3,876.8,TAG(52:2),0.0003
169,18:2,876.8,TAG(52:2),0.0008
166,16:0,876.8,TAG(52:2),0.006470666666666666
176,16:1,874.78,TAG(52:3),0.0003
177,16:0,874.78,TAG(52:3),0.012474666666666665
178,18:0,874.78,TAG(52:3),0.0017
179,18:1,874.78,TAG(52:3),0.007366666666666666
180,18:2,874.78,TAG(52:3),0.009300000000000001
181,18:3,874.78,TAG(52:3),0.0013
182,18:4,874.78,TAG(52:3),0.0002
189,18:0,872.77,TAG(52:4),0.0006
187,16:1,872.77,TAG(52:4),0.0004
188,16:0,872.77,TAG(52:4),0.02438766666666667
190,18:1,872.77,TAG(52:4),0.013633333333333332
192,18:3,872.77,TAG(52:4),0.021500000000000002
